TimestepID,local_time,temperature,direct_radiation,diffuse_radiation,windspeed_10,windspeed_100m,cloudcover,windgust,precipitation,pv,wind,demand,hour_of_day,day_of_week,day_of_year
1,2018-01-01 01:00:00,0.2564841498559078,0.0,0.0,0.5085296506904955,0.5451300356960734,0.6083333333333333,0.409090909090909,0.0,0.0,0.8479264194717592,0.3438515789326787,1,1,1
2,2018-01-01 02:00:00,0.2478386167146973,0.0,0.0,0.5597075548334687,0.5894951555328914,0.6388888888888888,0.4577922077922077,0.0,0.0,0.8543663669614181,0.3153344554191544,2,1,1
3,2018-01-01 03:00:00,0.2305475504322766,0.0,0.0,0.6068237205523964,0.6272310045894952,0.6722222222222223,0.461038961038961,0.0,0.0,0.8478768814141464,0.2985519165516335,3,1,1
